"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2024-01-11T19:21:59.000Z","image","6/ 🌟 2023 witnessed innovative web3 consumer apps emerge, offering unique experiences and revenue models. This shift is a testament to the dynamic nature of web3.","","https://pbs.twimg.com/media/GDlZ4SaboAAhng8?format=jpg&name=medium","1","","1"
"2024-01-11T19:21:58.000Z","image","4/ 🎮 The gaming sector is revolutionizing with blockchain. Studios like  ,  , & Ex Populus are integrating digital assets in games, creating new revenue models and empowering players.","","https://pbs.twimg.com/media/GDlZZ-Ia4AAbBqv?format=jpg&name=medium","2","","1"
"2024-01-11T19:21:57.000Z","image","2/ 🤝 Decentralized social networks like  ,   &  are empowering users with portable social graphs and no platform lock-in. A new era of social media is here!","","https://pbs.twimg.com/media/GDlY2coa4AMPgst?format=jpg&name=medium","1","","1"
"2024-01-08T17:47:50.000Z","image","Now we can clearly see the allocation of $PHA on mainnet now—nearly 80%!
Good job  and  !🔔 Simplified bridging between #Ethereum, #Phala, & #Khala Network!

Post full Sygma Bridge launch, 78% of $PHA tokens on Ethereum are now locked in the Sygma contract! @buildwithsygma

This is a big leap for Phala, narrowing the gap between @Ethereum and @Polkadot worlds ✨

🔗…  x.com/PhalaNetwork/s…","","https://pbs.twimg.com/media/GDVdQF_X0AMgIpU?format=jpg&name=medium","37","7","1"
"2024-01-08T16:44:25.000Z","text","KPI Oracle could be a hybrid configuration based on both API & prediction market","","","3","",""
"2024-01-08T07:48:14.000Z","text","💡 Introducing an idea here ➡️ KPI-Oracle, a potential game-changing tool to enhance Polkadot treasury experiences.

🎯 The KPI-Oracle is here to track KPIs for content creators, local event sponsors, social media managers, and educators...

🔍 How it works? Proposals can include…","","","13","4","2"
"2024-01-06T23:23:09.000Z","text","1. Agreement with Facts

👌 Popularity: Polkadot's web traffic is around 50% less than its peers:
-  : 534.2K
-  : 1.1M
- @0xPolygonLabs : 982K

👌 Branding Shift: Polkadot ecosystem teams now focus less on the Polkadot brand, prioritizing expansion into other…","","","59","9","1"
"2024-01-05T19:19:32.000Z","text","For our dear ambassadors!
Let me dm you bro","","","2","","1"
"2024-01-05T18:34:06.000Z","text","You are the king 👑🫡","","","3","","1"
"2024-01-05T18:20:36.000Z","image","Community ask, we deliver 🔨
 is already listed on  : ","","https://pbs.twimg.com/media/GDGTYPQbQAA2hoT?format=jpg&name=medium","90","27","6"
"2024-01-05T18:03:04.000Z","text","Forget to add  as the biggest CPU (SGX) network in the world with 30k alive computing nodes.
Remind me if there’s any stronger decentralized computation infrastructure than this.","","","18","2","3"
"2024-01-05T00:39:16.000Z","text","😂Best meme today","","","","",""
"2024-01-03T08:12:50.000Z","text","Life is short, don't waste time on the bull shit jobs just for ""success"". Do the right thing, do the things you love or believe.","","","50","3","6"
